1865    1865-06-11	3003
1894	1894-10-30	2788
1894	1894-10-30	2925
1894	1894-10-30	2970
1894	1894-10-30	2981
1894	1894-10-30	2992
1894	1894-10-30	2998
1894	1894-10-30	3005
1894	1894-10-30	3009
1894	1894-10-30	3013
1894	1894-10-30	3016
1894	1894-10-30	3051
1894	1894-10-30	3810
1894	1894-10-30	4042
1894	1894-10-30	4053
1894	1894-11-03	2455
1894	1894-11-03	2472
1894	1894-11-03	2480
1894	1894-11-03	2877
1894	1894-11-03	2986
1894	1894-11-03	3023
1894	1894-11-03	3026
1894	1894-11-03	3029
1894	1894-11-03	3031
1894	1894-11-03	3034
1894	1894-11-03	3037
1894	1894-11-03	3069
1894	1894-11-13	3044
1894	1894-11-20	2484
1894	1894-11-20	2498
1894	1894-11-20	2500
1894	1894-11-20	2509
1894	1894-11-20	2995
1894	1894-11-20	3054
1894	1894-11-20	3063
1894	1894-11-20	3064
1894	1894-11-20	3066
1894	1894-11-20	3072
1894	1894-11-20	3078
1894	1894-11-20	3082
1894	1894-11-20	3086
1894	1894-11-27	2512
1894	1894-11-27	2847
1894	1894-11-27	3062
1894	1894-11-27	3095
1894	1894-11-27	3097
1894	1894-11-27	3101
1894	1894-11-27	3107
1894	1894-11-27	3108
1894	1894-11-27	3121
1894	1894-12-04	2546
1894	1894-12-04	2551
1894	1894-12-04	3114
1894	1894-12-04	3119
1894	1894-12-04	3131
1894	1894-12-04	3134
1894	1894-12-04	3138
1894	1894-12-04	3141
1894	1894-12-04	3143
1894	1894-12-04	3144
1894	1894-12-04	3146
1894	1894-12-04	3150
1894	1894-12-04	3168
1894	1894-12-04	3170
1894	1894-12-11	2558
1894	1894-12-11	2559
1894	1894-12-11	2566
1894	1894-12-11	2574
1894	1894-12-11	3103
1894	1894-12-11	3174
1894	1894-12-11	4269
1894	1894-12-18	2592
1894	1894-12-18	2743
1894	1894-12-18	3166
1894	1894-12-20	3178
1894	1894-12-20	3338
1895	1895-01-15	2542
1895	1895-01-15	2606
1895	1895-01-15	2607
1895	1895-01-15	3154
1895	1895-01-15	3174
1895	1895-01-15	3183
1895	1895-01-15	3189
1895	1895-01-15	3195
1895	1895-01-15	3202
1895	1895-01-22	2726
1895	1895-01-22	3159
1895	1895-01-22	3207
1895	1895-01-22	3208
1895	1895-01-22	3210
1895	1895-01-22	3223
1895	1895-01-22	3441
1895	1895-01-29	2927
1895	1895-01-29	3184
1895	1895-01-29	3206
1895	1895-01-29	3213
1895	1895-01-29	3226
1895	1895-01-29	3239
1895	1895-01-29	3249
1895	1895-01-29	3277
1895	1895-01-29	4069
1895	1895-01-29	4115
1895	1895-01-29	4156
1895	1895-01-29	4187
1895	1895-02-05	2515
1895	1895-02-05	2528
1895	1895-02-05	2759
1895	1895-02-05	3193
1895	1895-02-05	3215
1895	1895-02-05	3242
1895	1895-02-05	3250
1895	1895-02-05	3805
1895	1895-02-05	3998
1895	1895-02-05	3999
1895	1895-02-05	4068
1895	1895-02-05	4153
1895	1895-02-05	4162
1895	1895-02-26	2536
1895	1895-02-26	2537
1895	1895-02-26	2842
1895	1895-02-26	2843
1895	1895-02-26	3155
1895	1895-02-26	3220
1895	1895-02-26	3234
1895	1895-02-26	3235
1895	1895-02-26	3244
1895	1895-02-26	3275
1895	1895-02-26	3326
1895	1895-02-26	3751
1895	1895-02-26	3955
1895	1895-02-26	4012
1895	1895-03-05	2625
1895	1895-03-05	3265
1895	1895-03-05	3280
1895	1895-03-05	3294
1895	1895-03-05	3295
1895	1895-03-05	3296
1895	1895-03-05	3297
1895	1895-03-05	3467
1895	1895-03-05	3468
1895	1895-03-05	3737
1895	1895-03-05	3936
1895	1895-03-05	4090
